"Add New Popup","Aggiungi Nuovo Popup"
"Save Popup","Salva Popup"
"Save and Continue Edit","Salva e Continua Modifica"
"Back","Indietro"
"Popup Information","Informazioni sul Popup"
"Content","Contenuto"
"Show In Page","Mostra nella Pagina"
"Active","Attivo"
"No","No"
"Yes","Sì"
"Store View","Vista del Negozio"
"Show From Date","Data Inizio Visualizzazione"
"Show To Date","Data Fine Visualizzazione"
"The popup has been deleted.","Il popup è stato eliminato."
"The popup has been saved.","Il popup è stato salvato."
"This popup no longer exists.","Questo popup non esiste più."
"Something went wrong while saving the popup.","Si è verificato un errore durante il salvataggio del popup."
"Are you sure you want to delete this popup?","Sei sicuro di voler eliminare questo popup?"
"Timing","Tempistica"
"All Pages","Tutte le pagine"
